Customer_id,Date_disb,pay_type,area_code,pin_code,state,dealer,product_code,tenure,roi,emi,proc_fee,asset_cost,loan_amt,gender,qualification,employ_type,resid_type,age,cibil_score,net_salary,net_irr,fraud
966,03-01-2020,ADM,3021,500062,AP,DEALER,SC,0.470588235,0.63558806,0.063855647,0.052698434,57999,51899,F,OTHERS,SEP,O,0.346938776,,0.408960927,0.807958418,0
967,09-01-2020,ADM,3021,500017,AP,DEALER,SC,0.588235294,0.794351357,0.094708302,0.555928921,80000,67000,M,UG,SAL,R,0.428571429,0.265107244,0.659752771,0.733874365,0
968,09-01-2020,ADM,3021,508116,AP,DEALER,MC,0.568627451,0.040225698,0.08236724,-1.214318426,68000,57900,M,SSC,AGR,O,0.224489796,,0.408960927,-0.319407607,0
969,04-01-2020,ADM,3021,500047,AP,ASC,SC,0.450980392,0.63558806,0.15473074,0.402660753,74500,62022,M,OTHERS,SAL,R,0.040816327,,-0.493889714,0.762863777,1
970,07-01-2020,ADM,3021,500037,AP,DEALER,SC,0.352941176,-1.217973426,0.163986537,0.624048107,85000,68899,F,UG,HOW,R,0.183673469,,1.161336461,-0.895974803,0
971,03-01-2020,ADM,3021,508101,AP,ASC,SC,0.470588235,0.43713394,0.183900524,0.402660753,85000,68400,M,OTHERS,AGR,O,0.102040816,,-0.092622763,0.99800012,0
972,02-01-2020,ADM,3021,500075,AP,DEALER,SC,0.352941176,-1.352922228,0.135377711,0.6581077,76000,63080,M,OTHERS,SEP,R,0.653061224,,0.158169082,-0.979721994,0
973,09-01-2020,ADM,3021,500006,AP,DEALER,SC,0.588235294,0.754660533,0.13500374,1.094921981,92000,78000,F,OTHERS,SEP,R,0.346938776,,-0.443731345,0.708105999,0
974,07-01-2020,ADM,3021,500027,AP,DEALER,MC,0.450980392,0.119607347,0.119016455,0.181273398,68000,56000,M,HSC,SEP,R,0.102040816,,-0.343414608,0.601811488,0
975,02-01-2020,ADM,3111,509382,AP,DEALER,MC,0.352941176,0.218834407,0.129487659,0.624048107,71000,57900,M,SSC,SEP,O,0.020408163,,0.408960927,0.527727435,0
976,03-01-2020,ACH,3111,500049,AP,DEALER,MC,0.647058824,0.139452759,0.17183994,1.406567257,110000,90900,M,PG,SEP,R,0.040816327,,-0.24309787,0.060675796,0
977,02-01-2020,ADM,3111,509205,AP,DEALER,MC,0.666666667,1.651673158,0.183339566,-1.726063812,108000,86900,M,SSC,SEP,O,0.102040816,,0.408960927,0.949684433,0
978,02-01-2020,ADM,3111,509001,AP,DEALER,SC,0.568627451,0.615742648,0.101439791,0.433314386,69500,60900,F,SSC,SEP,O,0.857142857,,0.408960927,0.769305869,0
